label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_anchor,rho_test_anchor
NIT_plus_scores__hepatic__h4p5__lgbm_binary__downweight,NIT_plus_scores,hepatic,4.5,lgbm_binary,downweight,0,55,1253,24,0.7510170870626526,0.7551168865522601,0.12343630344285601,0.5596899224806201,1.6354806423187256,0.46922622004265985,0.48366550272119424
NIT_plus_scores__hepatic__h5__lgbm_binary__soft_weight,NIT_plus_scores,hepatic,5.0,lgbm_binary,soft_weight,0,55,1253,25,0.7428664495114007,0.7428495850279403,0.11643627036068074,0.552988047808765,1.5275566577911377,0.49302540110550486,0.4964446846456938
NIT_plus_scores__hepatic__h5__lgbm_binary__downweight,NIT_plus_scores,hepatic,5.0,lgbm_binary,downweight,0,55,1253,25,0.7636807817589577,0.7590682141321958,0.12314586479754952,0.5561752988047809,1.5457684993743896,0.45744434170199616,0.4926449863241892
v3_hepatic_schema__hepatic__h6__catboost_binary__soft_weight,v3_hepatic_schema,hepatic,6.0,catboost_binary,soft_weight,0,215,1253,30,0.7490324339056964,0.755083821049499,0.12099522861893465,0.551394422310757,8.079901695251465,0.5737729781695613,0.6465070438222643
v3_hepatic_schema__hepatic__h6__catboost_binary__downweight,v3_hepatic_schema,hepatic,6.0,catboost_binary,downweight,0,215,1253,30,0.7456255110384301,0.7395430347518434,0.1296554315880592,0.5219123505976095,8.184895992279053,0.5712090205629592,0.6450705928075627
current_state_v2__death__h4__catboost_binary__soft_weight,current_state_v2,death,4.0,catboost_binary,soft_weight,0,222,1253,10,0.8708769106999196,0.8154693791057427,0.06312080459186328,0.6768361581920904,8.148000717163086,0.5848504402058715,0.6769734392945725
current_state_v2__death__h4__catboost_binary__downweight,current_state_v2,death,4.0,catboost_binary,downweight,0,222,1253,10,0.8968624296057924,0.8261919898283535,0.060058945439989554,0.7050847457627119,8.062788724899292,0.59975246500175,0.7305827043708061
current_state_v2__death__h5__catboost_binary__soft_weight,current_state_v2,death,5.0,catboost_binary,soft_weight,0,222,1253,16,0.9408852061438966,0.9056579783852511,0.04528296125296249,0.8124293785310734,8.612339735031128,0.7303073612693607,0.8320781036058404
current_state_v2__death__h5__catboost_binary__downweight,current_state_v2,death,5.0,catboost_binary,downweight,0,222,1253,16,0.9379547291835084,0.9152362788726425,0.03939459725883042,0.8271186440677966,8.1722092628479,0.7741208088966346,0.8756783504343916
current_state_v2__death__h5p5__catboost_binary__soft_weight,current_state_v2,death,5.5,catboost_binary,soft_weight,0,222,1253,16,0.9459882780921585,0.9062513244331426,0.04180594467468249,0.8135593220338984,8.223482131958008,0.7470832853226893,0.8409397052136506
current_state_v2__death__h5p5__catboost_binary__downweight,current_state_v2,death,5.5,catboost_binary,downweight,0,222,1253,16,0.9327000808407437,0.9143038779402416,0.04537060808037861,0.8011299435028248,8.208679437637329,0.7525057873394588,0.8609988058115059
current_state_v2__death__h6__catboost_binary__soft_weight,current_state_v2,death,6.0,catboost_binary,soft_weight,0,222,1253,20,0.8824817518248175,0.8761178215723671,0.05272833933894775,0.7367231638418079,8.270421266555786,0.6356196391653433,0.7495218172466692
current_state_v2__death__h6__catboost_binary__downweight,current_state_v2,death,6.0,catboost_binary,downweight,0,222,1253,20,0.9013787510137875,0.8968001695274422,0.04646992542455224,0.7887005649717514,8.152803897857666,0.6476096513281967,0.7733012621107392
current_state_v2__death__h6p5__catboost_binary__soft_weight,current_state_v2,death,6.5,catboost_binary,soft_weight,0,222,1253,20,0.8972830494728304,0.8855265946175037,0.05012700008979889,0.7615819209039548,8.306803941726685,0.683594296365075,0.7611613498959603
current_state_v2__death__h6p5__catboost_binary__downweight,current_state_v2,death,6.5,catboost_binary,downweight,0,222,1253,20,0.8849959448499596,0.8912481457936003,0.05248131109088128,0.7604519774011299,8.20937991142273,0.6665006069493952,0.7646039169128928
NIT_plus_scores__hepatic__h1__lgbm_binary__soft_weight__s1,NIT_plus_scores,hepatic,1.0,lgbm_binary,soft_weight,1,55,1253,12,0.7704136449100188,0.7073041695598982,0.13263073218095142,0.47751937984496123,1.2439258098602295,0.34968890657123647,0.35642162770432273
NIT_plus_scores__hepatic__h1__lgbm_binary__soft_weight__s2,NIT_plus_scores,hepatic,1.0,lgbm_binary,soft_weight,2,55,1253,12,0.7316008595218909,0.6910855404556426,0.10630118112797651,0.4968992248062015,1.1080553531646729,0.3506025729820217,0.3588765161465007
NIT_plus_scores__hepatic__h1__lgbm_binary__soft_weight__s3,NIT_plus_scores,hepatic,1.0,lgbm_binary,soft_weight,3,55,1253,12,0.7577894171367179,0.664219819462355,0.13603747284525053,0.37211155378486055,1.0875136852264404,0.3316431725525013,0.3250158300944834
NIT_plus_scores__hepatic__h1__lgbm_binary__soft_weight__s4,NIT_plus_scores,hepatic,1.0,lgbm_binary,soft_weight,4,55,1253,12,0.7326752618855761,0.6721224746222266,0.1225333406408586,0.4537848605577689,1.1124005317687988,0.3418406742141754,0.3520184138433632
NIT_plus_scores__hepatic__h2p5__lgbm_binary__s1,NIT_plus_scores,hepatic,2.5,lgbm_binary,exclude,1,55,851,15,0.7543062200956937,0.7240518467083292,0.08697717133855329,0.5767441860465117,1.018021821975708,0.4118368847770058,0.43684718820857943
NIT_plus_scores__hepatic__h2p5__lgbm_binary__s2,NIT_plus_scores,hepatic,2.5,lgbm_binary,exclude,2,55,851,15,0.7394736842105263,0.7060972787091228,0.08993911496051801,0.5829457364341085,1.0532586574554443,0.4013562564410342,0.42762655206768585
NIT_plus_scores__hepatic__h2p5__lgbm_binary__s3,NIT_plus_scores,hepatic,2.5,lgbm_binary,exclude,3,55,851,15,0.7402711323763955,0.7025427371623185,0.09703079035838123,0.5517928286852589,1.0151052474975586,0.4143422691701859,0.42003912584979913
