label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_v3,rho_test_v3
biomarker_only__hepatic__h3__xgb_binary,biomarker_only,hepatic,3.0,xgb_binary,exclude,0,127,851,21,0.7281124497991969,0.7027245974275039,0.10152371137241337,0.49721115537848604,0.0,0.4432836274342597,0.5722921633203386
v3_hepatic_schema__hepatic__h3__lgbm_binary,v3_hepatic_schema,hepatic,3.0,lgbm_binary,exclude,0,215,851,21,0.795639701663798,0.7671527295572529,0.12559039807539255,0.5459896983075792,0.0,0.4221092282251912,0.5247060032229771
v3_hepatic_schema__hepatic__h3__catboost_binary,v3_hepatic_schema,hepatic,3.0,catboost_binary,exclude,0,215,851,21,0.7663224325874929,0.7448335151935985,0.13432304097259806,0.5123505976095617,0.0,0.48269225070149596,0.6213870724497607
v3_hepatic_schema__hepatic__h3__xgb_binary,v3_hepatic_schema,hepatic,3.0,xgb_binary,exclude,0,215,851,21,0.7787722317842799,0.7369308600337268,0.10997218281365294,0.5401030169242089,0.0,0.4701885735763708,0.5642661131415909
current_state_v2__hepatic__h5__lgbm_binary,current_state_v2,hepatic,5.0,lgbm_binary,exclude,0,222,573,25,0.8227737226277372,0.6921601692953742,0.1285821435820524,0.47019867549668876,0.0,0.40951327430558176,0.5727654310652631
current_state_v2__hepatic__h5__catboost_binary,current_state_v2,hepatic,5.0,catboost_binary,exclude,0,222,573,25,0.8736496350364964,0.7142148596369408,0.11258538830581695,0.5268579838116262,0.0,0.4247388100004681,0.5917624142013936
current_state_v2__hepatic__h5__xgb_binary,current_state_v2,hepatic,5.0,xgb_binary,exclude,0,222,573,25,0.8097080291970803,0.6837284660913269,0.13671063633635225,0.4297277409860191,0.0,0.42992115725238245,0.5721080883280917
NIT_plus_scores__hepatic__h5__lgbm_binary,NIT_plus_scores,hepatic,5.0,lgbm_binary,exclude,0,55,573,25,0.7972262773722628,0.7455278907515789,0.12255409481616798,0.5171314741035856,0.0,0.41306212699301204,0.5477873583447013
NIT_plus_scores__hepatic__h5__catboost_binary,NIT_plus_scores,hepatic,5.0,catboost_binary,exclude,0,55,573,25,0.713065693430657,0.674933042356909,0.12781950497489067,0.5195219123505976,0.0,0.4300918228118713,0.5079870472088143
NIT_plus_scores__hepatic__h5__xgb_binary,NIT_plus_scores,hepatic,5.0,xgb_binary,exclude,0,55,573,25,0.7862043795620438,0.7295241874152697,0.12943367460015906,0.5147410358565737,0.0,0.4005801867646425,0.5212602652328794
biomarker_only__hepatic__h5__lgbm_binary,biomarker_only,hepatic,5.0,lgbm_binary,exclude,0,127,573,25,0.7602189781021897,0.7127599775154582,0.11117505826363337,0.49163346613545816,0.0,0.4373288125488204,0.5853080568720379
biomarker_only__hepatic__h5__catboost_binary,biomarker_only,hepatic,5.0,catboost_binary,exclude,0,127,573,25,0.7578832116788322,0.7109413748636048,0.12186273555168611,0.4796812749003984,0.0,0.46867580194345104,0.6164451107716056
biomarker_only__hepatic__h5__xgb_binary,biomarker_only,hepatic,5.0,xgb_binary,exclude,0,127,573,25,0.7545255474452554,0.7083457328968688,0.11621931258453122,0.4788844621513944,0.0,0.4330961269265687,0.5961393084614882
